stop,lap,milliseconds,year,round,gp_name,date,driverRef,number,code,forename,surname,nationality,circuitRef,track_name,location,country,alt
1,16,24064,2011,1,Australian Grand Prix,27/03/11,kobayashi,10,KOB,Kamui,Kobayashi,Japanese,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,10
1,16,25978,2011,1,Australian Grand Prix,27/03/11,sutil,99,SUT,Adrian,Sutil,German,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,10
1,16,24899,2011,1,Australian Grand Prix,27/03/11,trulli,\N,TRU,Jarno,Trulli,Italian,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,10
1,17,16867,2011,1,Australian Grand Prix,27/03/11,button,22,BUT,Jenson,Button,British,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,10
2,17,24463,2011,1,Australian Grand Prix,27/03/11,alguersuari,\N,ALG,Jaime,Alguersuari,Spanish,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,10
1,17,24865,2011,1,Australian Grand Prix,27/03/11,kovalainen,\N,KOV,Heikki,Kovalainen,Finnish,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,10
2,17,23988,2011,1,Australian Grand Prix,27/03/11,michael_schumacher,\N,MSC,Michael,Schumacher,German,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,10
1,18,23792,2011,1,Australian Grand Prix,27/03/11,glock,\N,GLO,Timo,Glock,German,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,10
2,19,23303,2011,1,Australian Grand Prix,27/03/11,button,22,BUT,Jenson,Button,British,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,10
1,23,23438,2011,1,Australian Grand Prix,27/03/11,perez,11,PER,Sergio,Pérez,Mexican,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,10
2,23,37856,2011,1,Australian Grand Prix,27/03/11,barrichello,\N,BAR,Rubens,Barrichello,Brazilian,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,10
2,26,22520,2011,1,Australian Grand Prix,27/03/11,webber,\N,WEB,Mark,Webber,Australian,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,10
2,27,24733,2011,1,Australian Grand Prix,27/03/11,alonso,14,ALO,Fernando,Alonso,Spanish,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,10
3,28,16892,2011,1,Australian Grand Prix,27/03/11,barrichello,\N,BAR,Rubens,Barrichello,Brazilian,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,10
2,29,23100,2011,1,Australian Grand Prix,27/03/11,buemi,\N,BUE,Sébastien,Buemi,Swiss,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,10
2,30,25098,2011,1,Australian Grand Prix,27/03/11,heidfeld,\N,HEI,Nick,Heidfeld,German,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,10
2,31,24500,2011,1,Australian Grand Prix,27/03/11,massa,19,MAS,Felipe,Massa,Brazilian,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,10
2,32,24192,2011,1,Australian Grand Prix,27/03/11,kobayashi,10,KOB,Kamui,Kobayashi,Japanese,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,10
2,36,24036,2011,1,Australian Grand Prix,27/03/11,vettel,5,VET,Sebastian,Vettel,German,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,10
2,36,23199,2011,1,Australian Grand Prix,27/03/11,hamilton,44,HAM,Lewis,Hamilton,British,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,10
3,35,26348,2011,1,Australian Grand Prix,27/03/11,alguersuari,\N,ALG,Jaime,Alguersuari,Spanish,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,10
2,36,25683,2011,1,Australian Grand Prix,27/03/11,petrov,\N,PET,Vitaly,Petrov,Russian,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,10
2,36,24332,2011,1,Australian Grand Prix,27/03/11,resta,\N,DIR,Paul,di Resta,British,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,10
3,37,22681,2011,1,Australian Grand Prix,27/03/11,button,22,BUT,Jenson,Button,British,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,10
2,37,23871,2011,1,Australian Grand Prix,27/03/11,sutil,99,SUT,Adrian,Sutil,German,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,10
2,37,24848,2011,1,Australian Grand Prix,27/03/11,trulli,\N,TRU,Jarno,Trulli,Italian,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,10
2,38,26446,2011,1,Australian Grand Prix,27/03/11,ambrosio,\N,DAM,Jérôme,d'Ambrosio,Belgian,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,10
3,41,26230,2011,1,Australian Grand Prix,27/03/11,webber,\N,WEB,Mark,Webber,Australian,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,10
4,40,26309,2011,1,Australian Grand Prix,27/03/11,barrichello,\N,BAR,Rubens,Barrichello,Brazilian,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,10
3,42,24181,2011,1,Australian Grand Prix,27/03/11,alonso,14,ALO,Fernando,Alonso,Spanish,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,10
3,48,24095,2011,1,Australian Grand Prix,27/03/11,massa,19,MAS,Felipe,Massa,Brazilian,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,10
1,3,31694,2011,2,Malaysian Grand Prix,10/04/11,sutil,99,SUT,Adrian,Sutil,German,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,18
1,3,32978,2011,2,Malaysian Grand Prix,10/04/11,barrichello,\N,BAR,Rubens,Barrichello,Brazilian,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,18
1,10,22572,2011,2,Malaysian Grand Prix,10/04/11,webber,\N,WEB,Mark,Webber,Australian,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,18
1,11,22773,2011,2,Malaysian Grand Prix,10/04/11,resta,\N,DIR,Paul,di Resta,British,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,18
1,12,22552,2011,2,Malaysian Grand Prix,10/04/11,hamilton,44,HAM,Lewis,Hamilton,British,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,18
1,13,23019,2011,2,Malaysian Grand Prix,10/04/11,vettel,5,VET,Sebastian,Vettel,German,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,18
1,13,23900,2011,2,Malaysian Grand Prix,10/04/11,heidfeld,\N,HEI,Nick,Heidfeld,German,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,18
1,13,22400,2011,2,Malaysian Grand Prix,10/04/11,button,22,BUT,Jenson,Button,British,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,18
1,13,29224,2011,2,Malaysian Grand Prix,10/04/11,massa,19,MAS,Felipe,Massa,Brazilian,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,18
1,13,25516,2011,2,Malaysian Grand Prix,10/04/11,trulli,\N,TRU,Jarno,Trulli,Italian,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,18
1,14,23152,2011,2,Malaysian Grand Prix,10/04/11,alonso,14,ALO,Fernando,Alonso,Spanish,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,18
1,14,22576,2011,2,Malaysian Grand Prix,10/04/11,michael_schumacher,\N,MSC,Michael,Schumacher,German,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,18
1,15,23182,2011,2,Malaysian Grand Prix,10/04/11,petrov,\N,PET,Vitaly,Petrov,Russian,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,18
1,15,23280,2011,2,Malaysian Grand Prix,10/04/11,buemi,\N,BUE,Sébastien,Buemi,Swiss,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,18
1,15,24967,2011,2,Malaysian Grand Prix,10/04/11,rosberg,6,ROS,Nico,Rosberg,German,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,18
1,15,29084,2011,2,Malaysian Grand Prix,10/04/11,kovalainen,\N,KOV,Heikki,Kovalainen,Finnish,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,18
1,16,23584,2011,2,Malaysian Grand Prix,10/04/11,alguersuari,\N,ALG,Jaime,Alguersuari,Spanish,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,18
2,16,22046,2011,2,Malaysian Grand Prix,10/04/11,sutil,99,SUT,Adrian,Sutil,German,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,18
1,17,23280,2011,2,Malaysian Grand Prix,10/04/11,kobayashi,10,KOB,Kamui,Kobayashi,Japanese,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,18
1,17,23597,2011,2,Malaysian Grand Prix,10/04/11,perez,11,PER,Sergio,Pérez,Mexican,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,18
1,17,24617,2011,2,Malaysian Grand Prix,10/04/11,glock,\N,GLO,Timo,Glock,German,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,18
1,17,26252,2011,2,Malaysian Grand Prix,10/04/11,ambrosio,\N,DAM,Jérôme,d'Ambrosio,Belgian,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,18
1,17,27815,2011,2,Malaysian Grand Prix,10/04/11,liuzzi,\N,LIU,Vitantonio,Liuzzi,Italian,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,18
2,17,24502,2011,2,Malaysian Grand Prix,10/04/11,barrichello,\N,BAR,Rubens,Barrichello,Brazilian,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,18
2,20,29843,2011,2,Malaysian Grand Prix,10/04/11,buemi,\N,BUE,Sébastien,Buemi,Swiss,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,18
2,22,21991,2011,2,Malaysian Grand Prix,10/04/11,webber,\N,WEB,Mark,Webber,Australian,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,18
2,23,22471,2011,2,Malaysian Grand Prix,10/04/11,button,22,BUT,Jenson,Button,British,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,18
2,24,22611,2011,2,Malaysian Grand Prix,10/04/11,hamilton,44,HAM,Lewis,Hamilton,British,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,18
2,24,22419,2011,2,Malaysian Grand Prix,10/04/11,resta,\N,DIR,Paul,di Resta,British,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,18
2,25,21893,2011,2,Malaysian Grand Prix,10/04/11,vettel,5,VET,Sebastian,Vettel,German,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,18
2,26,23894,2011,2,Malaysian Grand Prix,10/04/11,alonso,14,ALO,Fernando,Alonso,Spanish,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,18
2,26,23221,2011,2,Malaysian Grand Prix,10/04/11,heidfeld,\N,HEI,Nick,Heidfeld,German,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,18
2,27,22541,2011,2,Malaysian Grand Prix,10/04/11,massa,19,MAS,Felipe,Massa,Brazilian,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,18
2,27,22680,2011,2,Malaysian Grand Prix,10/04/11,petrov,\N,PET,Vitaly,Petrov,Russian,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,18
2,28,22261,2011,2,Malaysian Grand Prix,10/04/11,michael_schumacher,\N,MSC,Michael,Schumacher,German,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,18
2,29,22577,2011,2,Malaysian Grand Prix,10/04/11,rosberg,6,ROS,Nico,Rosberg,German,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,18
3,32,22069,2011,2,Malaysian Grand Prix,10/04/11,webber,\N,WEB,Mark,Webber,Australian,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,18
2,32,22888,2011,2,Malaysian Grand Prix,10/04/11,alguersuari,\N,ALG,Jaime,Alguersuari,Spanish,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,18
3,32,22550,2011,2,Malaysian Grand Prix,10/04/11,sutil,99,SUT,Adrian,Sutil,German,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,18
3,32,27439,2011,2,Malaysian Grand Prix,10/04/11,buemi,\N,BUE,Sébastien,Buemi,Swiss,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,18
2,34,23336,2011,2,Malaysian Grand Prix,10/04/11,kovalainen,\N,KOV,Heikki,Kovalainen,Finnish,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,18
2,34,24429,2011,2,Malaysian Grand Prix,10/04/11,glock,\N,GLO,Timo,Glock,German,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,18
2,35,24416,2011,2,Malaysian Grand Prix,10/04/11,ambrosio,\N,DAM,Jérôme,d'Ambrosio,Belgian,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,18
2,36,23442,2011,2,Malaysian Grand Prix,10/04/11,kobayashi,10,KOB,Kamui,Kobayashi,Japanese,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,18
3,37,25382,2011,2,Malaysian Grand Prix,10/04/11,hamilton,44,HAM,Lewis,Hamilton,British,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,18
3,37,23977,2011,2,Malaysian Grand Prix,10/04/11,resta,\N,DIR,Paul,di Resta,British,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,18
3,38,22483,2011,2,Malaysian Grand Prix,10/04/11,button,22,BUT,Jenson,Button,British,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,18
3,38,22893,2011,2,Malaysian Grand Prix,10/04/11,massa,19,MAS,Felipe,Massa,Brazilian,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,18
3,39,22602,2011,2,Malaysian Grand Prix,10/04/11,heidfeld,\N,HEI,Nick,Heidfeld,German,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,18
2,38,26554,2011,2,Malaysian Grand Prix,10/04/11,liuzzi,\N,LIU,Vitantonio,Liuzzi,Italian,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,18
3,40,22526,2011,2,Malaysian Grand Prix,10/04/11,rosberg,6,ROS,Nico,Rosberg,German,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,18
3,41,22313,2011,2,Malaysian Grand Prix,10/04/11,vettel,5,VET,Sebastian,Vettel,German,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,18
3,41,23812,2011,2,Malaysian Grand Prix,10/04/11,alonso,14,ALO,Fernando,Alonso,Spanish,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,18
3,42,22227,2011,2,Malaysian Grand Prix,10/04/11,michael_schumacher,\N,MSC,Michael,Schumacher,German,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,18
4,43,22161,2011,2,Malaysian Grand Prix,10/04/11,webber,\N,WEB,Mark,Webber,Australian,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,18
3,44,28694,2011,2,Malaysian Grand Prix,10/04/11,petrov,\N,PET,Vitaly,Petrov,Russian,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,18
4,46,27182,2011,2,Malaysian Grand Prix,10/04/11,alonso,14,ALO,Fernando,Alonso,Spanish,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,18
3,44,38823,2011,2,Malaysian Grand Prix,10/04/11,liuzzi,\N,LIU,Vitantonio,Liuzzi,Italian,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,18
4,52,22466,2011,2,Malaysian Grand Prix,10/04/11,hamilton,44,HAM,Lewis,Hamilton,British,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,18
1,9,22419,2011,3,Chinese Grand Prix,17/04/11,alguersuari,\N,ALG,Jaime,Alguersuari,Spanish,shanghai,Shanghai International Circuit,Shanghai,China,5
1,9,14160,2011,3,Chinese Grand Prix,17/04/11,liuzzi,\N,LIU,Vitantonio,Liuzzi,Italian,shanghai,Shanghai International Circuit,Shanghai,China,5
1,10,20522,2011,3,Chinese Grand Prix,17/04/11,michael_schumacher,\N,MSC,Michael,Schumacher,German,shanghai,Shanghai International Circuit,Shanghai,China,5
1,10,23442,2011,3,Chinese Grand Prix,17/04/11,webber,\N,WEB,Mark,Webber,Australian,shanghai,Shanghai International Circuit,Shanghai,China,5
1,10,23160,2011,3,Chinese Grand Prix,17/04/11,maldonado,13,MAL,Pastor,Maldonado,Venezuelan,shanghai,Shanghai International Circuit,Shanghai,China,5
1,11,21989,2011,3,Chinese Grand Prix,17/04/11,resta,\N,DIR,Paul,di Resta,British,shanghai,Shanghai International Circuit,Shanghai,China,5
1,12,20771,2011,3,Chinese Grand Prix,17/04/11,rosberg,6,ROS,Nico,Rosberg,German,shanghai,Shanghai International Circuit,Shanghai,China,5
1,12,22010,2011,3,Chinese Grand Prix,17/04/11,buemi,\N,BUE,Sébastien,Buemi,Swiss,shanghai,Shanghai International Circuit,Shanghai,China,5
1,14,23779,2011,3,Chinese Grand Prix,17/04/11,button,22,BUT,Jenson,Button,British,shanghai,Shanghai International Circuit,Shanghai,China,5
1,14,21995,2011,3,Chinese Grand Prix,17/04/11,vettel,5,VET,Sebastian,Vettel,German,shanghai,Shanghai International Circuit,Shanghai,China,5
1,14,21855,2011,3,Chinese Grand Prix,17/04/11,kobayashi,10,KOB,Kamui,Kobayashi,Japanese,shanghai,Shanghai International Circuit,Shanghai,China,5
1,15,21624,2011,3,Chinese Grand Prix,17/04/11,massa,19,MAS,Felipe,Massa,Brazilian,shanghai,Shanghai International Circuit,Shanghai,China,5
1,15,20878,2011,3,Chinese Grand Prix,17/04/11,hamilton,44,HAM,Lewis,Hamilton,British,shanghai,Shanghai International Circuit,Shanghai,China,5
1,15,20989,2011,3,Chinese Grand Prix,17/04/11,sutil,99,SUT,Adrian,Sutil,German,shanghai,Shanghai International Circuit,Shanghai,China,5
1,16,22524,2011,3,Chinese Grand Prix,17/04/11,alonso,14,ALO,Fernando,Alonso,Spanish,shanghai,Shanghai International Circuit,Shanghai,China,5
1,16,21473,2011,3,Chinese Grand Prix,17/04/11,perez,11,PER,Sergio,Pérez,Mexican,shanghai,Shanghai International Circuit,Shanghai,China,5
1,16,21709,2011,3,Chinese Grand Prix,17/04/11,barrichello,\N,BAR,Rubens,Barrichello,Brazilian,shanghai,Shanghai International Circuit,Shanghai,China,5
2,16,24722,2011,3,Chinese Grand Prix,17/04/11,buemi,\N,BUE,Sébastien,Buemi,Swiss,shanghai,Shanghai International Circuit,Shanghai,China,5
1,16,22683,2011,3,Chinese Grand Prix,17/04/11,glock,\N,GLO,Timo,Glock,German,shanghai,Shanghai International Circuit,Shanghai,China,5
1,17,21981,2011,3,Chinese Grand Prix,17/04/11,petrov,\N,PET,Vitaly,Petrov,Russian,shanghai,Shanghai International Circuit,Shanghai,China,5
1,18,22216,2011,3,Chinese Grand Prix,17/04/11,heidfeld,\N,HEI,Nick,Heidfeld,German,shanghai,Shanghai International Circuit,Shanghai,China,5
1,19,22485,2011,3,Chinese Grand Prix,17/04/11,kovalainen,\N,KOV,Heikki,Kovalainen,Finnish,shanghai,Shanghai International Circuit,Shanghai,China,5
1,20,23029,2011,3,Chinese Grand Prix,17/04/11,trulli,\N,TRU,Jarno,Trulli,Italian,shanghai,Shanghai International Circuit,Shanghai,China,5
1,20,22901,2011,3,Chinese Grand Prix,17/04/11,ambrosio,\N,DAM,Jérôme,d'Ambrosio,Belgian,shanghai,Shanghai International Circuit,Shanghai,China,5
2,21,24467,2011,3,Chinese Grand Prix,17/04/11,liuzzi,\N,LIU,Vitantonio,Liuzzi,Italian,shanghai,Shanghai International Circuit,Shanghai,China,5
1,23,26049,2011,3,Chinese Grand Prix,17/04/11,karthikeyan,\N,KAR,Narain,Karthikeyan,Indian,shanghai,Shanghai International Circuit,Shanghai,China,5
2,24,20758,2011,3,Chinese Grand Prix,17/04/11,button,22,BUT,Jenson,Button,British,shanghai,Shanghai International Circuit,Shanghai,China,5
2,25,22005,2011,3,Chinese Grand Prix,17/04/11,rosberg,6,ROS,Nico,Rosberg,German,shanghai,Shanghai International Circuit,Shanghai,China,5
2,25,20533,2011,3,Chinese Grand Prix,17/04/11,hamilton,44,HAM,Lewis,Hamilton,British,shanghai,Shanghai International Circuit,Shanghai,China,5
2,25,21132,2011,3,Chinese Grand Prix,17/04/11,webber,\N,WEB,Mark,Webber,Australian,shanghai,Shanghai International Circuit,Shanghai,China,5
2,25,22062,2011,3,Chinese Grand Prix,17/04/11,maldonado,13,MAL,Pastor,Maldonado,Venezuelan,shanghai,Shanghai International Circuit,Shanghai,China,5
2,26,21964,2011,3,Chinese Grand Prix,17/04/11,michael_schumacher,\N,MSC,Michael,Schumacher,German,shanghai,Shanghai International Circuit,Shanghai,China,5
2,28,21908,2011,3,Chinese Grand Prix,17/04/11,glock,\N,GLO,Timo,Glock,German,shanghai,Shanghai International Circuit,Shanghai,China,5
2,30,21058,2011,3,Chinese Grand Prix,17/04/11,sutil,99,SUT,Adrian,Sutil,German,shanghai,Shanghai International Circuit,Shanghai,China,5
2,30,21936,2011,3,Chinese Grand Prix,17/04/11,kobayashi,10,KOB,Kamui,Kobayashi,Japanese,shanghai,Shanghai International Circuit,Shanghai,China,5
2,30,21821,2011,3,Chinese Grand Prix,17/04/11,heidfeld,\N,HEI,Nick,Heidfeld,German,shanghai,Shanghai International Circuit,Shanghai,China,5
2,31,21533,2011,3,Chinese Grand Prix,17/04/11,vettel,5,VET,Sebastian,Vettel,German,shanghai,Shanghai International Circuit,Shanghai,China,5
2,32,21251,2011,3,Chinese Grand Prix,17/04/11,alonso,14,ALO,Fernando,Alonso,Spanish,shanghai,Shanghai International Circuit,Shanghai,China,5
2,32,21218,2011,3,Chinese Grand Prix,17/04/11,resta,\N,DIR,Paul,di Resta,British,shanghai,Shanghai International Circuit,Shanghai,China,5
2,33,21168,2011,3,Chinese Grand Prix,17/04/11,massa,19,MAS,Felipe,Massa,Brazilian,shanghai,Shanghai International Circuit,Shanghai,China,5
3,33,21928,2011,3,Chinese Grand Prix,17/04/11,buemi,\N,BUE,Sébastien,Buemi,Swiss,shanghai,Shanghai International Circuit,Shanghai,China,5
2,34,22802,2011,3,Chinese Grand Prix,17/04/11,ambrosio,\N,DAM,Jérôme,d'Ambrosio,Belgian,shanghai,Shanghai International Circuit,Shanghai,China,5
2,35,21481,2011,3,Chinese Grand Prix,17/04/11,barrichello,\N,BAR,Rubens,Barrichello,Brazilian,shanghai,Shanghai International Circuit,Shanghai,China,5
2,36,23397,2011,3,Chinese Grand Prix,17/04/11,perez,11,PER,Sergio,Pérez,Mexican,shanghai,Shanghai International Circuit,Shanghai,China,5
3,37,21237,2011,3,Chinese Grand Prix,17/04/11,button,22,BUT,Jenson,Button,British,shanghai,Shanghai International Circuit,Shanghai,China,5
2,37,22005,2011,3,Chinese Grand Prix,17/04/11,petrov,\N,PET,Vitaly,Petrov,Russian,shanghai,Shanghai International Circuit,Shanghai,China,5
3,38,20567,2011,3,Chinese Grand Prix,17/04/11,hamilton,44,HAM,Lewis,Hamilton,British,shanghai,Shanghai International Circuit,Shanghai,China,5
3,39,20720,2011,3,Chinese Grand Prix,17/04/11,rosberg,6,ROS,Nico,Rosberg,German,shanghai,Shanghai International Circuit,Shanghai,China,5
3,39,21400,2011,3,Chinese Grand Prix,17/04/11,michael_schumacher,\N,MSC,Michael,Schumacher,German,shanghai,Shanghai International Circuit,Shanghai,China,5
3,40,21091,2011,3,Chinese Grand Prix,17/04/11,webber,\N,WEB,Mark,Webber,Australian,shanghai,Shanghai International Circuit,Shanghai,China,5
3,39,33827,2011,3,Chinese Grand Prix,17/04/11,glock,\N,GLO,Timo,Glock,German,shanghai,Shanghai International Circuit,Shanghai,China,5
2,40,21890,2011,3,Chinese Grand Prix,17/04/11,kovalainen,\N,KOV,Heikki,Kovalainen,Finnish,shanghai,Shanghai International Circuit,Shanghai,China,5
3,40,27620,2011,3,Chinese Grand Prix,17/04/11,maldonado,13,MAL,Pastor,Maldonado,Venezuelan,shanghai,Shanghai International Circuit,Shanghai,China,5
2,42,22260,2011,3,Chinese Grand Prix,17/04/11,trulli,\N,TRU,Jarno,Trulli,Italian,shanghai,Shanghai International Circuit,Shanghai,China,5
3,45,23499,2011,3,Chinese Grand Prix,17/04/11,liuzzi,\N,LIU,Vitantonio,Liuzzi,Italian,shanghai,Shanghai International Circuit,Shanghai,China,5
3,47,28708,2011,3,Chinese Grand Prix,17/04/11,sutil,99,SUT,Adrian,Sutil,German,shanghai,Shanghai International Circuit,Shanghai,China,5
3,48,13900,2011,3,Chinese Grand Prix,17/04/11,perez,11,PER,Sergio,Pérez,Mexican,shanghai,Shanghai International Circuit,Shanghai,China,5
4,50,28845,2011,3,Chinese Grand Prix,17/04/11,perez,11,PER,Sergio,Pérez,Mexican,shanghai,Shanghai International Circuit,Shanghai,China,5
1,1,29270,2011,4,Turkish Grand Prix,08/05/11,perez,11,PER,Sergio,Pérez,Mexican,istanbul,Istanbul Park,Istanbul,Turkey,130
1,2,30182,2011,4,Turkish Grand Prix,08/05/11,michael_schumacher,\N,MSC,Michael,Schumacher,German,istanbul,Istanbul Park,Istanbul,Turkey,130
